start_lat,start_lon,end_lat,end_lon,airport1,airport2,delayRate
33.64044,-84.42694,30.40728,-89.07009,ATL,GPT,0.14516129032258066
33.43417,-112.00806,38.69542,-121.59077,PHX,SMF,0.15602836879432624
33.94254,-118.40807,37.61900,-122.37484,LAX,SFO,0.18194509073987902
45.81835,-88.11454,44.88055,-93.21692,IMT,MSP,0.1724137931034483
41.78598,-87.75242,38.17439,-85.73600,MDW,SDF,0.17682926829268292
39.85841,-104.66700,46.92972,-98.67820,DEN,JMS,0.390625
40.79524,-73.10021,27.97547,-82.53325,ISP,TPA,0.24561403508771928
39.85841,-104.66700,34.64045,-86.77311,DEN,HSV,0.3333333333333333
42.94722,-87.89658,29.99339,-90.25803,MKE,MSY,0.0
40.63975,-73.77893,38.69542,-121.59077,JFK,SMF,0.17142857142857143
39.85841,-104.66700,43.13986,-89.33751,DEN,MSN,0.27941176470588236
34.42621,-119.84037,37.61900,-122.37484,SBA,SFO,0.24438902743142144
35.04242,-89.97667,25.79325,-80.29056,MEM,MIA,0.0967741935483871
38.94453,-77.45581,43.11119,-76.10631,IAD,SYR,0.15625
33.64044,-84.42694,44.04532,-103.05737,ATL,RAP,0.0
35.04242,-89.97667,41.97960,-87.90446,MEM,ORD,0.31862745098039214
19.72026,-155.04847,33.94254,-118.40807,ITO,LAX,0.4
42.21206,-83.34884,43.13986,-89.33751,DTW,MSN,0.12962962962962962
38.94453,-77.45581,47.44898,-122.30931,IAD,SEA,0.275
33.64044,-84.42694,36.47521,-82.40742,ATL,TRI,0.11854103343465046
39.71733,-86.29438,40.27669,-74.81347,IND,TTN,0.5
39.85841,-104.66700,39.64257,-106.91770,DEN,EGE,0.7
33.43417,-112.00806,40.49147,-80.23287,PHX,PIT,0.20224719101123595
32.89595,-97.03720,35.33659,-94.36744,DFW,FSM,0.2413793103448276
43.60732,-110.73774,44.88055,-93.21692,JAC,MSP,0.3125
40.49147,-80.23287,27.97547,-82.53325,PIT,TPA,0.13934426229508196
55.35557,-131.71374,56.48433,-132.36982,KTN,WRG,0.2033898305084746
42.88082,-85.52277,38.94453,-77.45581,GRR,IAD,0.5
33.64044,-84.42694,33.56294,-86.75355,ATL,BHM,0.136
41.93887,-72.68323,41.78598,-87.75242,BDL,MDW,0.16260162601626016
29.98047,-95.33972,30.48325,-86.52540,IAH,VPS,0.16030534351145037
41.30252,-95.89417,38.74769,-90.35999,OMA,STL,0.1657142857142857
42.21206,-83.34884,26.68316,-80.09559,DTW,PBI,0.14473684210526316
33.64044,-84.42694,37.72129,-122.22072,ATL,OAK,0.75
41.97960,-87.90446,35.81249,-83.99286,ORD,TYS,0.309375
61.17432,-149.99619,37.61900,-122.37484,ANC,SFO,0.7
36.08036,-115.15233,33.94254,-118.40807,LAS,LAX,0.18609625668449198
31.32737,-92.54856,29.98047,-95.33972,AEX,IAH,0.1320754716981132
39.49858,-119.76806,40.78839,-111.97777,RNO,SLC,0.07386363636363637
19.73877,-156.04563,20.89865,-156.43046,KOA,OGG,0.1774193548387097
32.89865,-80.04051,25.79325,-80.29056,CHS,MIA,0.104
42.21206,-83.34884,40.63975,-73.77893,DTW,JFK,0.2125
39.49858,-119.76806,32.73356,-117.18966,RNO,SAN,0.15447154471544716
42.36435,-71.00518,47.44898,-122.30931,BOS,SEA,0.28350515463917525
39.85841,-104.66700,38.94453,-77.45581,DEN,IAD,0.2688356164383562
45.07807,-83.56029,42.21206,-83.34884,APN,DTW,0.336734693877551
38.37315,-81.59319,29.98047,-95.33972,CRW,IAH,0.3148148148148148
33.64044,-84.42694,45.58872,-122.59750,ATL,PDX,0.0783132530120482
43.58135,-96.74170,44.88055,-93.21692,FSD,MSP,0.1781818181818182
41.93887,-72.68323,38.94453,-77.45581,BDL,IAD,0.27586206896551724
36.12448,-86.67818,40.78839,-111.97777,BNA,SLC,0.171875
44.88055,-93.21692,33.67566,-117.86822,MSP,SNA,0.07878787878787878
47.44898,-122.30931,27.97547,-82.53325,SEA,TPA,0.16129032258064516
34.89567,-82.21886,41.78598,-87.75242,GSP,MDW,0.2033898305084746
38.13864,-78.45286,41.97960,-87.90446,CHO,ORD,0.5462962962962963
39.87195,-75.24114,35.87764,-78.78747,PHL,RDU,0.21714285714285714
35.04022,-106.60919,41.97960,-87.90446,ABQ,ORD,0.5471698113207547
33.94254,-118.40807,20.89865,-156.43046,LAX,OGG,0.16778523489932887
40.63975,-73.77893,43.64617,-70.30875,JFK,PWM,0.21818181818181817
33.64044,-84.42694,38.03799,-87.53063,ATL,EVV,0.22674418604651161
40.69250,-74.16866,43.13986,-89.33751,EWR,MSN,0.3888888888888889
41.93887,-72.68323,18.43942,-66.00183,BDL,SJU,0.35365853658536583
32.89595,-97.03720,39.29761,-94.71391,DFW,MCI,0.2
33.64044,-84.42694,39.71733,-86.29438,ATL,IND,0.11919504643962849
32.31117,-90.07589,41.97960,-87.90446,JAN,ORD,0.16831683168316833
38.94453,-77.45581,35.39309,-97.60073,IAD,OKC,0.4444444444444444
44.88055,-93.21692,33.43417,-112.00806,MSP,PHX,0.15
33.56294,-86.75355,28.42889,-81.31603,BHM,MCO,0.18699186991869918
42.36435,-71.00518,27.97547,-82.53325,BOS,TPA,0.26842105263157895
33.64044,-84.42694,32.30064,-86.39398,ATL,MGM,0.17829457364341086
40.69250,-74.16866,25.79325,-80.29056,EWR,MIA,0.3153846153846154
33.64044,-84.42694,37.61900,-122.37484,ATL,SFO,0.11428571428571428
43.58135,-96.74170,41.97960,-87.90446,FSD,ORD,0.2905027932960894
33.64044,-84.42694,36.28187,-94.30681,ATL,XNA,0.14084507042253522
39.85841,-104.66700,48.17794,-103.64235,DEN,ISN,0.2703862660944206
41.97960,-87.90446,43.11119,-76.10631,ORD,SYR,0.4344569288389513
33.64044,-84.42694,46.91631,-114.09056,ATL,MSO,0.25
38.85208,-77.03772,29.98047,-95.33972,DCA,IAH,0.18181818181818182
31.80667,-106.37781,29.64542,-95.27889,ELP,HOU,0.16770186335403728
21.31869,-157.92241,40.63975,-73.77893,HNL,JFK,0.20512820512820512
33.64044,-84.42694,42.94722,-87.89658,ATL,MKE,0.1619217081850534
33.64044,-84.42694,37.64996,-97.43305,ATL,ICT,0.1111111111111111
40.63975,-73.77893,33.82922,-116.50625,JFK,PSP,0.0
28.42889,-81.31603,44.88055,-93.21692,MCO,MSP,0.11388888888888889
42.88082,-85.52277,38.74769,-90.35999,GRR,STL,0.19230769230769232
32.89595,-97.03720,40.97847,-85.19515,DFW,FWA,0.26851851851851855
42.94052,-78.73217,42.21206,-83.34884,BUF,DTW,0.16666666666666666
41.97960,-87.90446,40.78839,-111.97777,ORD,SLC,0.32589285714285715
36.58698,-121.84295,33.43417,-112.00806,MRY,PHX,0.10204081632653061
26.07258,-80.15275,44.65190,-73.4657,FLL,PBG,0.3050847457627119
33.81772,-118.15161,38.69542,-121.59077,LGB,SMF,0.11607142857142858
35.21401,-80.94313,39.99799,-82.89188,CLT,CMH,0.14285714285714285
34.05600,-117.60119,37.61900,-122.37484,ONT,SFO,0.24119241192411925
39.85841,-104.66700,40.66424,-89.69331,DEN,PIA,0.875
38.85208,-77.03772,45.58872,-122.59750,DCA,PDX,0.0967741935483871
25.79325,-80.29056,30.39653,-84.35033,MIA,TLH,0.10256410256410256
36.12448,-86.67818,26.53617,-81.75517,BNA,RSW,0.23333333333333334
33.64044,-84.42694,30.69142,-88.24283,ATL,MOB,0.15706806282722513
44.88055,-93.21692,40.49147,-80.23287,MSP,PIT,0.21428571428571427
28.42889,-81.31603,29.99339,-90.25803,MCO,MSY,0.16580310880829016
32.89595,-97.03720,34.56771,-98.41664,DFW,LAW,0.24890829694323144
26.07258,-80.15275,18.33731,-64.97336,FLL,STT,0.36065573770491804
32.84711,-96.85177,29.99339,-90.25803,DAL,MSY,0.1422319474835886
38.80581,-104.70025,29.98047,-95.33972,COS,IAH,0.23699421965317918
40.50898,-122.29340,37.61900,-122.37484,RDD,SFO,0.20809248554913296
33.64044,-84.42694,29.53369,-98.46978,ATL,SAT,0.14971209213051823
32.89595,-97.03720,36.09775,-79.93730,DFW,GSO,0.3063583815028902
30.19453,-97.66987,40.69250,-74.16866,AUS,EWR,0.21428571428571427
44.47300,-73.15031,40.63975,-73.77893,BTV,JFK,0.17647058823529413
33.94254,-118.40807,39.29761,-94.71391,LAX,MCI,0.1889763779527559
42.96550,-83.74346,27.97547,-82.53325,FNT,TPA,0.14516129032258066
36.12448,-86.67818,28.42889,-81.31603,BNA,MCO,0.171875
39.85841,-104.66700,48.11425,-98.90878,DEN,DVL,0.3
